#name,parcfile,labeltextfile,displayvolume
aal,AAL116_MNI152_1mm_182x218x182.nii.gz,aal_roi_atlas116.csv,
aal3,AAL3v1_seq166_MNI152_1mm_182x218x182.nii.gz,AAL3v1_seq166.txt,
cc200,cc200_new1mm.nii.gz,cc200_roi_labels.csv,
cc400,cc400_new1mm_seq392.nii.gz,cc400_roi_labels_seq392.csv,
shen268,shen268_MNI1mm_dil1.nii.gz,shen_268_parcellation_networklabels.csv,
fs86avg,fs86_dil1_allsubj_mode.nii.gz,fs86_FreeSurferLUT.txt,
fs86subj,fs86_dil1_allsubj.npz,fs86_FreeSurferLUT.txt,fs86_dil1_allsubj_mode.nii.gz
fs86dil3subj,fs86_dil3_allsubj.npz,fs86_FreeSurferLUT.txt,fs86_dil1_allsubj_mode.nii.gz
fs111avg,fs111cereb_dil1_allsubj_mode.nii.gz,fs111cereb_FreeSurferLUT.txt,this
fs111subj,fs111cereb_dil1_allsubj.npz,fs111cereb_FreeSurferLUT.txt,fs111cereb_dil1_allsubj_mode.nii.gz
fs191subj,fs191_sgmfix_dil1_allsubj.npz,fs191_FreeSurferLUT.txt,fs191_sgmfix_dil1_allsubj_mode.nii.gz
cocommp438avg,cocommp438_dil1_allsubj_mode.nii.gz,cocommp438_roi_labels.txt,
cocommp438subj,cocommp438_dil1_allsubj.npz,cocommp438_roi_labels.txt,cocommp438_dil1_allsubj_mode.nii.gz
cocommpsuit439avg,cocommpsuit439_dil1_allsubj_mode.nii.gz,cocommpsuit439_roi_labels.txt,
cocommpsuit439subj,cocommpsuit439_dil1_allsubj.npz,cocommpsuit439_roi_labels.txt,cocommpsuit439_dil1_allsubj_mode.nii.gz
yeo7,Yeo2011_7Networks_MNI152_182x218x182_LiberalMask.nii.gz,Yeo2011_7Networks_NetworkNames_ColorLUT.txt,
yeo17,Yeo2011_17Networks_MNI152_182x218x182_LiberalMask.nii.gz,Yeo2011_17Networks_NetworkNames_ColorLUT.txt,
cocoyeo143subj,cocoyeo143_dil1_allsubj.npz,cocoyeo143_LUT.txt,cocoyeo143_dil1_allsubj_mode.nii.gz
cocoyeo243subj,cocoyeo243_dil1_allsubj.npz,cocoyeo243_LUT.txt,cocoyeo243_dil1_allsubj_mode.nii.gz
cocoyeo443subj,cocoyeo443_dil1_allsubj.npz,cocoyeo443_LUT.txt,cocoyeo443_dil1_allsubj_mode.nii.gz
cocolaus157subj,cocolaus157_dil1_allsubj.npz,cocolaus157_LUT.txt,cocolaus157_dil1_allsubj_mode.nii.gz
cocolaus157dil3subj,cocolaus157_dil3_allsubj.npz,cocolaus157_LUT.txt,cocolaus157_dil1_allsubj_mode.nii.gz
cocolaus262subj,cocolaus262_dil1_allsubj.npz,cocolaus262_LUT.txt,cocolaus262_dil1_allsubj_mode.nii.gz
cocolaus491subj,cocolaus491_dil1_allsubj.npz,cocolaus491_LUT.txt,cocolaus491_dil1_allsubj_mode.nii.gz
